,class_hits,class_nums_total,function_hits,function_nums_total,variable_hits,variable_nums_total,string_hits,string_nums_total,comment_hits,comment_nums_total,docstring_hits,docstring_nums_total,trained_on
the_stack_python_script_47795.py,0.5,2,1.0,2,0.42857142857142855,7,0.0,7,0.14285714285714285,7,0.0,2,1
the_stack_python_script_87038.py,0.0,0,0.0,0,0.8,5,0.0,1,0.125,8,0.0,0,1
the_stack_python_script_18125.py,0.5,2,1.0,2,1.0,7,0.42857142857142855,7,0.0,12,0.0,0,1
the_stack_python_script_11150.py,0.0,1,0.625,8,0.8571428571428571,14,0.5,2,0.0,0,0.0,0,0
the_stack_python_script_928.py,1.0,1,1.0,2,1.0,5,0.0,1,0.0,0,0.0,0,1
the_stack_python_script_92866.py,0.0,0,0.0,0,1.0,2,0.2,5,0.0,0,0.0,0,0
the_stack_python_script_1200.py,0.0,0,1.0,2,0.7222222222222222,18,0.0,7,0.0,1,0.0,0,1
the_stack_python_script_10908.py,0.0,0,0.8333333333333334,6,0.875,8,0.375,8,0.15,20,0.0,1,1
the_stack_python_script_86480.py,0.0,0,0.0,0,1.0,12,0.3,10,0.0,9,0.0,0,1
the_stack_python_script_17599.py,0.5,2,0.9,10,0.8928571428571429,28,0.43478260869565216,23,1.0,1,0.0,0,1
the_stack_python_script_8032.py,0.0,0,0.0,0,0.25,4,0.3333333333333333,3,0.0,8,0.0,0,1
the_stack_python_script_92772.py,0.0,0,1.0,3,0.96,25,0.2222222222222222,45,0.0,7,0.0,1,1
the_stack_python_script_11718.py,0.0,0,0.625,8,1.0,12,0.3333333333333333,12,0.0,3,0.0,3,1
the_stack_python_script_80201.py,0.5,2,0.5625,16,0.875,8,0.5,2,0.0,0,0.25,8,1
the_stack_python_script_47764.py,0.0,0,0.0,0,1.0,4,0.25,4,0.0,0,0.0,0,0
the_stack_python_script_86593.py,0.0,2,0.4,5,1.0,14,0.391304347826087,23,0.5,2,0.0,0,1
